"","X","ID","day","date","time","schedule","question","rating"
"1",1,1,1,"2016-08-23","20:04:35",NA,"social contact",9
"2",2,1,1,"2016-08-23","17:08:33",NA,"mood",5
"3",3,1,1,"2016-08-23","09:07:37",NA,"sleep",1
"4",4,1,1,"2016-08-23","09:07:46",NA,"self-esteem",7
"5",5,1,1,"2016-08-23","09:07:55",NA,"enjoyed activities",3
"6",6,1,1,"2016-08-23","20:04:23",NA,"pleasant activities",8
"7",7,1,1,"2016-08-23","20:04:16",NA,"worrying",3
"8",8,1,2,"2016-09-12","13:57:11",NA,"social contact",9
"9",9,1,2,"2016-09-12","17:02:04",NA,"mood",9
"10",10,1,2,"2016-09-12","20:03:52",NA,"sleep",9
"11",11,1,2,"2016-09-12","13:41:56",NA,"self-esteem",7
"12",12,1,2,"2016-09-12","20:03:46",NA,"enjoyed activities",1
"13",13,1,2,"2016-09-12","20:32:20",NA,"pleasant activities",1
"14",14,1,2,"2016-09-12","09:07:28",NA,"worrying",8
"15",15,1,3,"2016-08-29","17:42:58",NA,"social contact",2
"16",16,1,3,"2016-08-29","20:04:00",NA,"mood",9
"17",17,1,3,"2016-08-29","07:39:24","self-initiated","sleep",7
"18",18,1,3,"2016-08-29","06:07:43","self-initiated","self-esteem",5
"19",19,1,3,"2016-08-29","06:11:26","self-initiated","enjoyed activities",1
"20",20,1,3,"2016-08-29","08:13:27","self-initiated","pleasant activities",7
"21",21,1,3,"2016-08-29","07:08:18","self-initiated","worrying",1
"22",22,1,4,"2016-08-26","05:56:18","self-initiated","social contact",6
"23",23,1,4,"2016-08-26","08:01:03","self-initiated","mood",4
"24",24,1,4,"2016-08-26","07:09:40","self-initiated","sleep",2
"25",25,1,4,"2016-08-26","16:04:03","self-initiated","self-esteem",2
"26",26,1,4,"2016-08-26","06:10:10","self-initiated","enjoyed activities",3
"27",27,1,4,"2016-08-26","07:13:23","self-initiated","pleasant activities",5
"28",28,1,4,"2016-08-26","07:35:28","self-initiated","worrying",4
"29",29,1,1,"2016-08-31","07:04:44","self-initiated","social contact",7
"30",30,1,1,"2016-08-31","07:00:26","self-initiated","mood",8
"31",31,1,1,"2016-08-31","06:22:59","self-initiated","sleep",3
"32",32,1,1,"2016-08-31","06:15:04","self-initiated","self-esteem",10
"33",33,1,1,"2016-08-31","08:46:19","self-initiated","enjoyed activities",4
"34",34,1,1,"2016-08-31","08:59:19","self-initiated","pleasant activities",5
"35",35,1,1,"2016-08-31","06:07:48","self-initiated","worrying",6
"36",36,1,2,"2016-08-30","08:51:15","self-initiated","social contact",10
"37",37,1,2,"2016-08-30","17:59:10","self-initiated","mood",1
"38",38,1,2,"2016-08-30","18:24:01","self-initiated","sleep",9
"39",39,1,2,"2016-08-30","09:20:13","self-initiated","self-esteem",1
"40",40,1,2,"2016-08-30","07:51:17","self-initiated","enjoyed activities",3
"41",41,1,2,"2016-08-30","16:37:54","self-initiated","pleasant activities",2
"42",42,1,2,"2016-08-30","17:38:41","self-initiated","worrying",1
"43",43,1,3,"2016-09-29","07:03:56","self-initiated","social contact",3
"44",44,1,3,"2016-09-29","08:16:18","self-initiated","mood",10
"45",45,1,3,"2016-09-29","20:09:22","self-initiated","sleep",7
"46",46,1,3,"2016-09-29","11:06:04","self-initiated","self-esteem",10
"47",47,1,3,"2016-09-29","08:16:37","self-initiated","enjoyed activities",3
"48",48,1,3,"2016-09-29","19:44:47","self-initiated","pleasant activities",5
"49",49,1,3,"2016-09-29","06:56:19","self-initiated","worrying",8
"50",50,1,4,"2016-08-23","20:14:12","self-initiated","social contact",8
"51",51,1,4,"2016-08-23","06:23:25","self-initiated","mood",5
"52",52,1,4,"2016-08-23","19:24:16","self-initiated","sleep",5
"53",53,1,4,"2016-08-23","10:19:15","self-initiated","self-esteem",5
"54",54,1,4,"2016-08-23","20:48:19","self-initiated","enjoyed activities",8
"55",55,1,4,"2016-08-23","09:20:38","self-initiated","pleasant activities",10
"56",56,1,4,"2016-08-23","17:18:12","self-initiated","worrying",8
"57",57,2,1,"2016-09-12","08:21:30","self-initiated","social contact",9
"58",58,2,1,"2016-09-12","08:00:56","self-initiated","mood",10
"59",59,2,1,"2016-09-12","08:40:05","self-initiated","sleep",6
"60",60,2,1,"2016-09-12","06:25:19","self-initiated","self-esteem",9
"61",61,2,1,"2016-09-12","07:08:22","self-initiated","enjoyed activities",9
"62",62,2,1,"2016-09-12","15:02:53","self-initiated","pleasant activities",2
"63",63,2,1,"2016-09-12","16:06:18","self-initiated","worrying",7
"64",64,2,2,"2016-08-29","09:20:35","self-initiated","social contact",6
"65",65,2,2,"2016-08-29","06:21:55","self-initiated","mood",10
"66",66,2,2,"2016-08-29","15:35:08","self-initiated","sleep",9
"67",67,2,2,"2016-08-29","15:28:07","self-initiated","self-esteem",3
"68",68,2,2,"2016-08-29","19:13:25","self-initiated","enjoyed activities",8
"69",69,2,2,"2016-08-29","19:11:33","self-initiated","pleasant activities",2
"70",70,2,2,"2016-08-29","20:28:20","self-initiated","worrying",10
"71",71,2,3,"2016-08-26","09:48:08","self-initiated","social contact",3
"72",72,2,3,"2016-08-26","15:28:22","self-initiated","mood",1
"73",73,2,3,"2016-08-26","17:47:43","self-initiated","sleep",7
"74",74,2,3,"2016-08-26","14:03:30","self-initiated","self-esteem",5
"75",75,2,3,"2016-08-26","19:02:02","self-initiated","enjoyed activities",10
"76",76,2,3,"2016-08-26","17:54:55","self-initiated","pleasant activities",3
"77",77,2,3,"2016-08-26","19:54:21","self-initiated","worrying",8
"78",78,2,4,"2016-08-31","20:16:45","self-initiated","social contact",5
"79",79,2,4,"2016-08-31","17:28:15","self-initiated","mood",1
"80",80,2,4,"2016-08-31","15:33:06","self-initiated","sleep",4
"81",81,2,4,"2016-08-31","09:03:14","self-initiated","self-esteem",10
"82",82,2,4,"2016-08-31","13:18:22","self-initiated","enjoyed activities",8
"83",83,2,4,"2016-08-31","12:45:02","self-initiated","pleasant activities",1
"84",84,2,4,"2016-08-31","17:15:34","self-initiated","worrying",5
"85",85,2,1,"2016-08-30","09:17:05","self-initiated","social contact",6
"86",86,2,1,"2016-08-30","09:07:10","self-initiated","mood",10
"87",87,2,1,"2016-08-30","14:58:20","self-initiated","sleep",7
"88",88,2,1,"2016-08-30","13:46:43","self-initiated","self-esteem",4
"89",89,2,1,"2016-08-30","22:34:37","self-initiated","enjoyed activities",10
"90",90,2,1,"2016-08-30","19:34:32","self-initiated","pleasant activities",5
"91",91,2,1,"2016-08-30","12:37:16","self-initiated","worrying",2
"92",92,2,2,"2016-09-29","14:41:26","self-initiated","social contact",8
"93",93,2,2,"2016-09-29","21:09:40","self-initiated","mood",4
"94",94,2,2,"2016-09-29","10:05:15","self-initiated","sleep",9
"95",95,2,2,"2016-09-29","19:31:45","self-initiated","self-esteem",6
"96",96,2,2,"2016-09-29","09:00:06","self-initiated","enjoyed activities",9
"97",97,2,2,"2016-09-29","14:29:07","self-initiated","pleasant activities",4
"98",98,2,2,"2016-09-29","09:17:28","self-initiated","worrying",7
"99",99,2,3,"2016-08-23","16:20:59","self-initiated","social contact",9
"100",100,2,3,"2016-08-23","18:18:38","self-initiated","mood",8
"101",101,2,3,"2016-08-23","10:24:24","self-initiated","sleep",6
"102",102,2,3,"2016-08-23","11:44:09","self-initiated","self-esteem",2
"103",103,2,3,"2016-08-23","10:18:56","self-initiated","enjoyed activities",6
"104",104,2,3,"2016-08-23","07:57:55","self-initiated","pleasant activities",5
"105",105,2,3,"2016-08-23","13:29:21","self-initiated","worrying",1
"106",106,2,4,"2016-09-12","11:29:01","self-initiated","social contact",8
"107",107,2,4,"2016-09-12","20:16:21","self-initiated","mood",2
"108",108,2,4,"2016-09-12","16:25:38","self-initiated","sleep",5
"109",109,2,4,"2016-09-12","20:00:43","self-initiated","self-esteem",4
"110",110,2,4,"2016-09-12","09:50:23","self-initiated","enjoyed activities",7
"111",111,2,4,"2016-09-12","17:51:29","self-initiated","pleasant activities",1
"112",112,2,4,"2016-09-12","17:09:44","self-initiated","worrying",7
"113",113,3,1,"2016-08-29","16:51:25","self-initiated","social contact",1
"114",114,3,1,"2016-08-29","20:04:13","self-initiated","mood",8
"115",115,3,1,"2016-08-29","12:48:27","self-initiated","sleep",3
"116",116,3,1,"2016-08-29","20:44:33","self-initiated","self-esteem",1
"117",117,3,1,"2016-08-29","19:07:32","self-initiated","enjoyed activities",5
"118",118,3,1,"2016-08-29","18:00:40","self-initiated","pleasant activities",9
"119",119,3,1,"2016-08-29","16:23:51","self-initiated","worrying",5
"120",120,3,2,"2016-08-26","14:21:46","self-initiated","social contact",1
"121",121,3,2,"2016-08-26","11:55:06","self-initiated","mood",5
"122",122,3,2,"2016-08-26","20:16:18","self-initiated","sleep",1
"123",123,3,2,"2016-08-26","22:26:00","self-initiated","self-esteem",9
"124",124,3,2,"2016-08-26","12:37:46","self-initiated","enjoyed activities",9
